6/5/2017 13:18:21 | 1 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:18:45 | 2 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:18:53 | 3 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:19:1 | 4 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:21:8 | 5 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:26:21 | 6 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:26:28 | 7 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:26:47 | 8 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:26:55 | 9 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:27:4 | 10 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:27:20 | 11 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:28:20 | 12 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:28:29 | 13 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 13:29:9 | 14 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:9:8 | 15 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:9:23 | 16 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:9:33 | 17 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:9:44 | 18 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:10:52 | 19 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:23:27 | 20 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:25:45 | 21 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:26:12 | 22 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:27:22 | 23 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:30:0 | 24 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:30:10 | 25 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:30:51 | 26 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:30:56 | 27 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:33:56 | 28 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:34:43 | 29 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:34:55 | 30 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:36:30 | 31 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:39:14 | 32 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:39:39 | 33 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:40:11 | 34 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:40:27 | 35 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:40:39 | 36 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:41:23 | 37 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 15:47:27 | 38 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:0:44 | 39 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:2:4 | 40 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:7:13 | 41 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:8:34 | 42 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:9:55 | 43 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:11:29 | 44 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:14:55 | 45 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:15:47 | 46 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:17:13 | 47 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:20:5 | 48 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:20:44 | 49 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:21:27 | 50 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:23:6 | 51 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:23:57 | 52 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:24:58 | 53 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:25:19 | 54 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:25:29 | 55 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:25:47 | 56 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:26:11 | 57 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:26:41 | 58 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:29:28 | 59 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:30:2 | 60 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:36:38 | 61 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:37:31 | 62 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:41:4 | 63 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:41:18 | 64 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:52:35 | 65 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:53:12 | 66 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:54:23 | 67 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:54:54 | 68 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:55:9 | 69 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:55:29 | 70 | PD | 0 | PD2 | 0 | 0:0:0
6/5/2017 16:56:21 | 71 | PD | 0 | PD2 | 0 | 0:0:0
